"Year","Qtr","Region","Index","YrQtr","CV"
1985,3,1,10253111.6227992,1985.5,0.486935063317165
1985,3,2,3486402.51204,1985.5,0.475146304022551
1985,3,3,5559895.52806,1985.5,0.253486044069751
1985,3,4,4423885.4407,1985.5,0.198763729369069
1985,3,5,4993326.711839,1985.5,0.375520261546162
1985,4,1,12089400.6002933,1985.75,0.474597194351008
1985,4,2,4312301.88732,1985.75,0.455590111161251
1985,4,3,5995904.22252,1985.75,0.231118422261625
1985,4,4,5170357.6081,1985.75,0.20501454697338
1985,4,5,4918042.676239,1985.75,0.45907294152565
1986,1,1,12542829.751249,1986,0.427429105992939
1986,1,2,4850816.95848,1986,0.516641864596743
1986,1,3,5482908.80223,1986,0.229463145297404
1986,1,4,4092590.9186,1986,0.207883262554116
1986,1,5,4156987.59371,1986,0.375473715493957
1986,2,1,10843520.7313741,1986.25,0.512485884321807
1986,2,2,4277491.32595,1986.25,0.5579306759146
1986,2,3,4696098.60434,1986.25,0.225495676007308
1986,2,4,4102563.4347,1986.25,0.243027024453386
1986,2,5,4158893.5073091,1986.25,0.336042676531204
1986,3,1,11609396.0907352,1986.5,0.51297689344171
1986,3,2,4027369.35351,1986.5,0.595732108494183
1986,3,3,5622281.72147,1986.5,0.255644103697449
1986,3,4,4647771.8302,1986.5,0.221868580582654
1986,3,5,4427977.55674,1986.5,0.376615277695369
1986,4,1,14756535.5078141,1986.75,0.452419203617092
1986,4,2,5070933.70912,1986.75,0.544858275354665
1986,4,3,7520620.32814,1986.75,0.257270443145063
1986,4,4,3678278.77054,1986.75,0.319443520734614
1986,4,5,5376384.99699,1986.75,0.396431549690972
1987,1,1,12728488.9133543,1987,0.430459521672423
1987,1,2,4390882.09824,1987,0.565463616601168
1987,1,3,6348064.40731,1987,0.269982923400776
1987,1,4,5642684.7029,1987,0.216200808562705
1987,1,5,2795520.46198,1987,0.362246641251863
1987,2,1,10761744.3914701,1987.25,0.509462248352317
1987,2,2,4614911.5614,1987.25,0.546070443530335
1987,2,3,6322294.71589,1987.25,0.410872152647833
1987,2,4,5525346.0703,1987.25,0.250570106428512
1987,2,5,3200751.5266461,1987.25,0.441942521857348
1987,3,1,10096046.1685536,1987.5,0.49866456862571
1987,3,2,4975667.95851,1987.5,0.531484269775303
1987,3,3,6416729.49846,1987.5,0.353120422672074
1987,3,4,5201639.7589,1987.5,0.208275411701972
1987,3,5,4202291.86148,1987.5,0.445480693392637
1987,4,1,13514394.5942261,1987.75,0.425314699571944
1987,4,2,3921365.82374,1987.75,0.515024776038201
1987,4,3,6109047.12772,1987.75,0.316152975498482
1987,4,4,4309166.4798,1987.75,0.192167460586988
1987,4,5,2768819.852943,1987.75,0.538676663737931
1988,1,1,12134837.8972423,1988,0.449745161556368
1988,1,2,3956805.19673,1988,0.511661173450428
1988,1,3,4904475.78002,1988,0.345798624273148
1988,1,4,3923207.517,1988,0.209443605782401
1988,1,5,2787610.432381,1988,0.42224357138052
1988,2,1,9082931.6946585,1988.25,0.520796590702608
1988,2,2,3722370.74967,1988.25,0.540102414888272
1988,2,3,4305523.15072,1988.25,0.390754875895463
1988,2,4,3362090.89126,1988.25,0.213747276681164
1988,2,5,2811318.818434,1988.25,0.378908228649864
1988,3,1,8419572.7922851,1988.5,0.481626982421734
1988,3,2,4058595.76854,1988.5,0.506086320762004
1988,3,3,4658106.14017,1988.5,0.312570806421583
1988,3,4,2456943.9487,1988.5,0.215631122528065
